#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         280     2.61472     2.61451 3.86311e-05
         281     2.61474     2.61452 3.85017e-05
         282     2.61475     2.61452 3.83743e-05
         283     2.61477     2.61452 3.82491e-05
         284     2.61478     2.61452  3.8126e-05
         285      2.6148     2.61452  3.8005e-05
         286     2.61481     2.61452 3.78859e-05
         287     2.61483     2.61452 3.77691e-05
         288     2.61484     2.61452 3.76544e-05
         289     2.61486     2.61452 3.75419e-05
         290     2.61487     2.61452  3.7432e-05
         291     2.61489     2.61453 3.73245e-05
         292     2.61491     2.61453 3.72199e-05
         293     2.61493     2.61453  3.7118e-05
         294     2.61494     2.61453 3.70182e-05
         295     2.61496     2.61453 3.69214e-05
         296     2.61498     2.61453 3.68279e-05
         297       2.615     2.61453 3.67379e-05
         298     2.61502     2.61454 3.66502e-05
         299     2.61504     2.61454 3.65659e-05
         300     2.61505     2.61454 3.64842e-05
         301     2.61507     2.61454  3.6406e-05
         302     2.61509     2.61454 3.63305e-05
         303      2.6151     2.61454 3.62577e-05
         304     2.61511     2.61455 3.61867e-05
         305     2.61513     2.61455 3.61188e-05
         306     2.61515     2.61455 3.60535e-05
         307     2.61516     2.61455 3.59915e-05
         308     2.61518     2.61455 3.59324e-05
         309      2.6152     2.61456 3.58761e-05
         310     2.61521     2.61456 3.58216e-05
         311     2.61522     2.61456 3.57692e-05
         312     2.61523     2.61456 3.57187e-05
         313     2.61524     2.61457   3.567e-05
         314     2.61526     2.61457 3.56243e-05
         315     2.61527     2.61457 3.55805e-05
         316     2.61527     2.61457 3.55378e-05
         317     2.61528     2.61457 3.54966e-05
         318     2.61529     2.61458 3.54556e-05
         319     2.61529     2.61458 3.54156e-05
         320     2.61529     2.61458 3.53753e-05
         321      2.6153     2.61458 3.53355e-05
         322      2.6153     2.61459 3.52954e-05
         323      2.6153     2.61459 3.52552e-05
         324     2.61529     2.61459 3.52137e-05
         325     2.61529     2.61459 3.51717e-05
         326     2.61529     2.61459 3.51289e-05
         327     2.61529      2.6146 3.50859e-05
         328     2.61528      2.6146 3.50416e-05
         329     2.61528      2.6146 3.49959e-05
         330     2.61527      2.6146  3.4949e-05
         331     2.61526      2.6146 3.48999e-05
         332     2.61525     2.61461 3.48485e-05
         333     2.61524     2.61461  3.4796e-05
         334     2.61523     2.61461 3.47411e-05
         335     2.61521     2.61461 3.46837e-05
         336      2.6152     2.61461 3.46247e-05
         337     2.61518     2.61462 3.45629e-05
         338     2.61517     2.61462 3.44996e-05
         339     2.61516     2.61462 3.44344e-05
         340     2.61514     2.61462 3.43674e-05
         341     2.61513     2.61462 3.42991e-05
         342     2.61511     2.61462 3.42289e-05
         343      2.6151     2.61462 3.41577e-05
         344     2.61509     2.61463 3.40847e-05
         345     2.61508     2.61463 3.40112e-05
         346     2.61507     2.61463 3.39368e-05
         347     2.61506     2.61463 3.38618e-05
         348     2.61505     2.61463 3.37863e-05
         349     2.61504     2.61463   3.371e-05
         350     2.61503     2.61463 3.36332e-05
         351     2.61503     2.61463 3.35565e-05
         352     2.61503     2.61464 3.34801e-05
         353     2.61504     2.61464 3.34044e-05
         354     2.61504     2.61464 3.33295e-05
         355     2.61504     2.61464 3.32553e-05
         356     2.61505     2.61464 3.31818e-05
         357     2.61506     2.61464 3.31097e-05
         358     2.61507     2.61464 3.30388e-05
         359     2.61508     2.61464 3.29698e-05
         360      2.6151     2.61464 3.29027e-05
