#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         489     3.00018      2.9735   0.0012671
         490     3.00077     2.97356  0.00126574
         491      3.0013     2.97361  0.00126442
         492     3.00177     2.97367  0.00126315
         493     3.00218     2.97373  0.00126191
         494     3.00253     2.97379   0.0012607
         495     3.00282     2.97385  0.00125952
         496     3.00305      2.9739  0.00125835
         497     3.00322     2.97396   0.0012572
         498     3.00332     2.97402  0.00125606
         499     3.00336     2.97408  0.00125492
         500     3.00334     2.97414  0.00125377
         501     3.00325      2.9742  0.00125261
         502     3.00311     2.97426  0.00125144
         503     3.00292     2.97431  0.00125025
         504     3.00267     2.97437  0.00124904
         505     3.00236     2.97442  0.00124779
         506     3.00201     2.97448  0.00124652
         507     3.00162     2.97453  0.00124521
         508     3.00118     2.97458  0.00124386
         509     3.00071     2.97464  0.00124248
         510     3.00021     2.97469  0.00124105
         511     2.99968     2.97474  0.00123958
         512     2.99912     2.97478  0.00123808
         513     2.99855     2.97483  0.00123653
         514     2.99797     2.97487  0.00123495
         515     2.99738     2.97492  0.00123332
         516      2.9968     2.97496  0.00123166
         517     2.99621       2.975  0.00122996
         518     2.99564     2.97504  0.00122823
         519     2.99509     2.97508  0.00122647
         520     2.99455     2.97512  0.00122469
         521     2.99405     2.97515  0.00122288
         522     2.99357     2.97519  0.00122104
         523     2.99313     2.97522  0.00121919
         524     2.99273     2.97526  0.00121732
         525     2.99238     2.97529  0.00121544
         526     2.99206     2.97532  0.00121355
         527      2.9918     2.97535  0.00121165
         528     2.99158     2.97538  0.00120974
         529     2.99141     2.97541  0.00120783
         530     2.99129     2.97544  0.00120593
         531     2.99122     2.97547  0.00120402
         532      2.9912      2.9755  0.00120212
         533     2.99121     2.97553  0.00120023
         534     2.99127     2.97556  0.00119834
         535     2.99137     2.97559  0.00119646
         536      2.9915     2.97562   0.0011946
         537     2.99166     2.97565  0.00119275
         538     2.99184     2.97568  0.00119091
         539     2.99205     2.97571  0.00118909
         540     2.99226     2.97574  0.00118728
         541     2.99249     2.97577  0.00118549
         542     2.99272      2.9758  0.00118372
         543     2.99295     2.97584  0.00118196
         544     2.99317     2.97587  0.00118021
         545     2.99339      2.9759  0.00117849
         546     2.99358     2.97593  0.00117677
         547     2.99375     2.97596  0.00117507
         548      2.9939       2.976  0.00117338
         549     2.99402     2.97603  0.00117171
         550     2.99411     2.97606  0.00117004
         551     2.99415      2.9761  0.00116837
         552     2.99416     2.97613  0.00116672
         553     2.99413     2.97616  0.00116506
         554     2.99406     2.97619   0.0011634
         555     2.99393     2.97623  0.00116175
         556     2.99376     2.97626  0.00116009
         557     2.99354     2.97629  0.00115842
         558     2.99326     2.97632  0.00115674
         559     2.99294     2.97635  0.00115505
         560     2.99256     2.97638  0.00115335
         561     2.99212     2.97641  0.00115164
         562     2.99164     2.97643  0.00114991
         563      2.9911     2.97646  0.00114816
         564      2.9905     2.97648   0.0011464
         565     2.98985     2.97651  0.00114461
         566     2.98915     2.97653  0.00114281
         567     2.98839     2.97655  0.00114098
         568     2.98758     2.97657  0.00113914
         569     2.98672     2.97659  0.00113728
         570     2.98581      2.9766   0.0011354
         571     2.98486     2.97662   0.0011335
         572     2.98385     2.97663  0.00113159
         573     2.98281     2.97664  0.00112966
         574     2.98172     2.97665  0.00112773
         575      2.9806     2.97666  0.00112579
         576     2.97944     2.97666  0.00112385
         577     2.97825     2.97666   0.0011219
         578     2.97704     2.97667  0.00111996
         579      2.9758     2.97666  0.00111803
         580     2.97455     2.97666  0.00111611
         581     2.97329     2.97665   0.0011142
         582     2.97202     2.97665  0.00111231
         583     2.97075     2.97664  0.00111045
         584     2.96949     2.97662  0.00110862
         585     2.96824     2.97661  0.00110682
         586     2.96701     2.97659  0.00110505
         587     2.96581     2.97658  0.00110332
         588     2.96464     2.97655  0.00110163
         589      2.9635     2.97653  0.00109998
         590      2.9624     2.97651  0.00109838
         591     2.96135     2.97648  0.00109682
         592     2.96035     2.97646   0.0010953
         593     2.95941     2.97643  0.00109383
         594     2.95852      2.9764  0.00109241
         595     2.95768     2.97637  0.00109103
         596     2.95691     2.97633  0.00108968
         597     2.95619      2.9763  0.00108838
         598     2.95553     2.97626  0.00108711
         599     2.95493     2.97623  0.00108588
         600     2.95438     2.97619  0.00108468
         601     2.95388     2.97616  0.00108351
         602     2.95343     2.97612  0.00108237
         603     2.95303     2.97608  0.00108125
         604     2.95266     2.97604  0.00108016
         605     2.95233       2.976  0.00107908
         606     2.95203     2.97596  0.00107803
         607     2.95176     2.97592  0.00107699
         608     2.95151     2.97588  0.00107597
         609     2.95127     2.97584  0.00107496
         610     2.95106      2.9758  0.00107396
         611     2.95085     2.97576  0.00107298
         612     2.95065     2.97572  0.00107201
         613     2.95045     2.97568  0.00107105
         614     2.95026     2.97564  0.00107011
         615     2.95008     2.97559  0.00106918
         616     2.94989     2.97555  0.00106826
         617      2.9497     2.97551  0.00106735
         618     2.94951     2.97547  0.00106645
         619     2.94932     2.97543  0.00106556
         620     2.94913     2.97538  0.00106469
         621     2.94894     2.97534  0.00106382
         622     2.94874      2.9753  0.00106297
         623     2.94854     2.97526  0.00106213
         624     2.94834     2.97521  0.00106131
         625     2.94813     2.97517  0.00106049
         626     2.94791     2.97513  0.00105969
         627     2.94769     2.97508  0.00105891
         628     2.94745     2.97504  0.00105813
         629      2.9472     2.97499  0.00105738
         630     2.94693     2.97495  0.00105664
         631     2.94663      2.9749  0.00105591
         632     2.94631     2.97486  0.00105521
         633     2.94595     2.97481  0.00105453
         634     2.94556     2.97477  0.00105388
         635     2.94512     2.97472  0.00105325
         636     2.94463     2.97467  0.00105266
         637     2.94408     2.97463   0.0010521
         638     2.94348     2.97458  0.00105159
         639      2.9428     2.97453  0.00105111
         640     2.94206     2.97448   0.0010507
         641     2.94124     2.97442  0.00105034
         642     2.94033     2.97437  0.00105004
         643     2.93934     2.97432  0.00104982
         644     2.93826     2.97426  0.00104968
         645     2.93709      2.9742  0.00104964
         646     2.93582     2.97414  0.00104969
         647     2.93446     2.97408  0.00104986
         648     2.93301     2.97402  0.00105015
         649     2.93146     2.97395  0.00105058
         650     2.92982     2.97389  0.00105115
         651     2.92809     2.97382  0.00105189
         652     2.92627     2.97374   0.0010528
         653     2.92438     2.97367   0.0010539
         654     2.92241     2.97359   0.0010552
         655     2.92038     2.97351  0.00105671
         656     2.91829     2.97342  0.00105845
         657     2.91615     2.97334  0.00106042
         658     2.91397     2.97325  0.00106264
         659     2.91176     2.97315  0.00106512
         660     2.90954     2.97306  0.00106785
         661     2.90732     2.97296  0.00107086
         662     2.90511     2.97285  0.00107413
         663     2.90291     2.97275  0.00107768
         664     2.90076     2.97264   0.0010815
         665     2.89866     2.97253  0.00108558
         666     2.89662     2.97241  0.00108992
         667     2.89466      2.9723   0.0010945
         668     2.89279     2.97218  0.00109931
         669     2.89103     2.97206  0.00110434
         670     2.88939     2.97193  0.00110956
         671     2.88788     2.97181  0.00111496
         672     2.88651     2.97168   0.0011205
         673     2.88529     2.97155  0.00112616
         674     2.88424     2.97142  0.00113192
         675     2.88335     2.97129  0.00113774
         676     2.88264     2.97116  0.00114359
         677     2.88211     2.97103  0.00114944
         678     2.88177      2.9709  0.00115526
         679     2.88161     2.97077  0.00116102
         680     2.88164     2.97064  0.00116669
         681     2.88186     2.97051  0.00117223
         682     2.88227     2.97038  0.00117763
         683     2.88287     2.97025  0.00118286
         684     2.88364     2.97012  0.00118789
         685     2.88459        2.97   0.0011927
         686     2.88571     2.96987  0.00119727
         687     2.88699     2.96975  0.00120159
         688     2.88842     2.96964  0.00120565
         689        2.89     2.96952  0.00120942
         690     2.89171     2.96941  0.00121292
         691     2.89354      2.9693  0.00121612
         692     2.89549     2.96919  0.00121903
         693     2.89754     2.96909  0.00122165
         694     2.89969     2.96899  0.00122397
         695     2.90191     2.96889  0.00122601
         696      2.9042      2.9688  0.00122777
         697     2.90656     2.96871  0.00122925
         698     2.90896     2.96862  0.00123047
         699      2.9114     2.96854  0.00123143
         700     2.91387     2.96846  0.00123214
         701     2.91636     2.96839  0.00123262
         702     2.91886     2.96832  0.00123289
         703     2.92136     2.96825  0.00123294
         704     2.92386     2.96819   0.0012328
         705     2.92635     2.96813  0.00123248
         706     2.92882     2.96807  0.00123199
         707     2.93126     2.96802  0.00123135
         708     2.93367     2.96797  0.00123056
         709     2.93605     2.96793  0.00122965
         710     2.93839     2.96789  0.00122862
         711     2.94068     2.96785  0.00122749
         712     2.94293     2.96781  0.00122627
         713     2.94513     2.96778  0.00122496
