# Generation Best_Length AvgBestHalf
816 67.1596 71.2037
817 67.1596 71.2037
818 67.1596 71.2037
819 67.1596 71.2037
820 67.1596 71.2037
821 67.1596 71.2037
822 67.1596 71.2037
823 67.1596 71.2037
824 67.1596 71.2037
825 67.1596 71.1982
826 67.1596 71.1909
827 67.1596 71.1907
828 67.1596 71.1907
829 67.1596 71.1907
830 67.1596 71.1907
831 67.1596 71.1907
832 67.1596 71.1907
833 67.1596 71.1907
834 67.1596 71.1907
835 67.1596 71.1907
836 67.1596 71.1907
837 67.1596 71.1907
838 67.1596 71.1907
839 67.1596 71.1907
840 67.1596 71.1907
841 67.1596 71.19
842 67.1596 71.1888
843 67.1596 71.1866
844 67.1596 71.1833
845 67.1596 71.1825
846 67.1596 71.1685
847 67.1596 71.1426
848 67.1596 71.142
849 67.1596 71.142
850 67.1596 71.142
851 67.1596 71.142
852 67.1596 71.142
853 67.1596 71.142
854 67.1596 71.142
855 67.1596 71.142
856 67.1596 71.142
857 67.1596 71.142
858 67.1596 71.142
859 67.1596 71.142
860 67.1596 71.142
861 67.1596 71.142
862 67.1596 71.142
863 67.1596 71.142
864 67.1596 71.142
865 67.1596 71.142
866 67.1596 71.142
867 67.1596 71.142
868 67.1596 71.142
869 67.1596 71.142
870 67.1596 71.142
871 67.1596 71.142
872 67.1596 71.142
873 67.1596 71.142
874 67.1596 71.142
875 67.1596 71.1419
876 67.1596 71.137
877 67.1596 71.1296
878 67.1596 71.1295
879 67.1596 71.1295
880 67.1596 71.1295
881 67.1596 71.1295
882 67.1596 71.1295
883 67.1596 71.1295
884 67.1596 71.1295
885 67.1596 71.1292
886 67.1596 71.1207
887 67.1596 71.0904
888 67.1596 71.0718
889 67.1596 71.0718
890 67.1596 71.0718
891 67.1596 71.0718
892 67.1596 71.0718
893 67.1596 71.0718
894 67.1596 71.0718
895 67.1596 71.0718
896 67.1596 71.0718
897 67.1596 71.0718
898 67.1596 71.0718
899 67.1596 71.0718
900 67.1596 71.0718
901 67.1596 71.0718
902 67.1596 71.0718
903 67.1596 71.0718
904 67.1596 71.0718
905 67.1596 71.0718
906 67.1596 71.0718
907 67.1596 71.0718
908 67.1596 71.0718
909 67.1596 71.0718
910 67.1596 71.0718
911 67.1596 71.0718
912 67.1596 71.0718
913 67.1596 71.0718
914 67.1596 71.0718
915 67.1596 71.0718
916 67.1596 71.0718
917 67.1596 71.0718
918 67.1596 71.0718
919 67.1596 71.0718
920 67.1596 71.0718
921 67.1596 71.0718
922 67.1596 71.0718
923 67.1596 71.0718
924 67.1596 71.0718
925 67.1596 71.0718
926 67.1596 71.0718
927 67.1596 71.0718
928 67.1596 71.0718
929 67.1596 71.0718
930 67.1596 71.0718
931 67.1596 71.0718
932 67.1596 71.0718
933 67.1596 71.0715
934 67.1596 71.0526
935 67.1596 71.0095
936 67.1596 71.0012
937 67.1596 71.0012
938 67.1596 70.9982
939 67.1596 70.9912
940 67.1596 70.9883
941 67.1596 70.9882
942 67.1596 70.9882
943 67.1596 70.9882
944 67.1596 70.9882
945 67.1596 70.9872
946 67.1596 70.986
947 67.1596 70.9858
948 67.1596 70.9851
949 67.1596 70.9841
950 67.1596 70.9839
951 67.1596 70.9839
952 67.1596 70.9839
953 67.1596 70.9839
954 67.1596 70.9839
955 67.1596 70.9839
956 67.1596 70.9839
957 67.1596 70.9839
958 67.1596 70.9832
959 67.1596 70.9822
960 67.1596 70.9821
961 67.1596 70.9821
962 67.1596 70.982
963 67.1596 70.9682
964 67.1596 70.9505
965 67.1596 70.949
966 67.1596 70.9488
967 67.1596 70.9406
968 67.1596 70.9205
969 67.1596 70.9162
970 67.1596 70.9162
971 67.1596 70.9162
972 67.1596 70.9162
973 67.1596 70.9162
974 67.1596 70.9162
975 67.1596 70.9162
976 67.1596 70.9161
977 67.1596 70.9119
978 67.1596 70.903
979 67.1596 70.9019
980 67.1596 70.9017
981 67.1596 70.8886
982 67.1596 70.8691
983 67.1596 70.8621
984 67.1596 70.8576
985 67.1596 70.8556
986 67.1596 70.8309
987 67.0665 70.7759
988 67.0665 70.757
989 67.0665 70.7397
990 67.0665 70.7343
991 67.0665 70.7343
992 67.0665 70.7343
993 67.0665 70.7343
994 67.0665 70.7343
995 67.0665 70.7334
996 67.0665 70.7315
997 67.0665 70.7315
998 67.0665 70.7315
999 67.0665 70.7315
1000 67.0665 70.7315
1001 67.0665 70.7315
1002 67.0665 70.7315
1003 67.0665 70.7315
1004 67.0665 70.7315
1005 67.0665 70.7315
1006 67.0665 70.7315
1007 67.0665 70.7315
1008 67.0665 70.7315
1009 67.0665 70.7315
1010 67.0665 70.7315
1011 67.0665 70.7315
1012 66.9208 70.7314
1013 66.9208 70.7266
1014 66.9208 70.719
1015 66.9208 70.7182
1016 66.9208 70.7182
1017 66.9208 70.7181
1018 66.9208 70.7117
