#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         377     1.94279     1.96921  0.00118619
         378     1.94333     1.96914  0.00118503
         379      1.9439     1.96908  0.00118377
         380     1.94452     1.96901  0.00118242
         381     1.94517     1.96895  0.00118097
         382     1.94585     1.96889  0.00117942
         383     1.94656     1.96883  0.00117779
         384     1.94729     1.96877  0.00117605
         385     1.94804     1.96872  0.00117423
         386      1.9488     1.96867  0.00117232
         387     1.94957     1.96862  0.00117033
         388     1.95034     1.96857  0.00116826
         389     1.95111     1.96853  0.00116612
         390     1.95187     1.96848  0.00116391
         391     1.95261     1.96844  0.00116164
         392     1.95334      1.9684  0.00115932
         393     1.95405     1.96837  0.00115694
         394     1.95472     1.96833  0.00115453
         395     1.95536      1.9683  0.00115207
         396     1.95596     1.96827  0.00114958
         397     1.95652     1.96824  0.00114707
         398     1.95704     1.96821  0.00114453
         399      1.9575     1.96818  0.00114198
         400     1.95791     1.96816  0.00113941
         401     1.95826     1.96813  0.00113684
         402     1.95855     1.96811  0.00113426
         403     1.95877     1.96809  0.00113168
         404     1.95894     1.96806  0.00112911
         405     1.95903     1.96804  0.00112654
         406     1.95906     1.96802  0.00112398
         407     1.95902       1.968  0.00112144
         408      1.9589     1.96798  0.00111891
         409     1.95872     1.96795   0.0011164
         410     1.95847     1.96793  0.00111392
         411     1.95815     1.96791  0.00111146
         412     1.95776     1.96788  0.00110904
         413     1.95731     1.96786  0.00110665
         414     1.95679     1.96783   0.0011043
         415     1.95621      1.9678  0.00110199
         416     1.95557     1.96777  0.00109974
         417     1.95488     1.96774  0.00109753
         418     1.95414     1.96771  0.00109539
         419     1.95336     1.96767  0.00109331
         420     1.95254     1.96764   0.0010913
         421     1.95169      1.9676  0.00108937
         422     1.95081     1.96756  0.00108751
         423     1.94991     1.96752  0.00108574
         424       1.949     1.96748  0.00108406
         425     1.94809     1.96743  0.00108247
         426     1.94719     1.96738  0.00108097
         427     1.94629     1.96733  0.00107956
         428     1.94542     1.96728  0.00107826
         429     1.94458     1.96723  0.00107704
         430     1.94377     1.96717  0.00107592
         431     1.94301     1.96712  0.00107488
         432      1.9423     1.96706  0.00107393
         433     1.94164       1.967  0.00107305
         434     1.94105     1.96694  0.00107224
         435     1.94053     1.96688  0.00107149
         436     1.94008     1.96682   0.0010708
         437      1.9397     1.96676  0.00107014
         438     1.93939      1.9667  0.00106952
         439     1.93916     1.96663  0.00106893
         440       1.939     1.96657  0.00106834
         441     1.93891     1.96651  0.00106776
         442     1.93889     1.96644  0.00106717
         443     1.93893     1.96638  0.00106656
         444     1.93904     1.96632  0.00106594
         445     1.93919     1.96626  0.00106529
         446     1.93939      1.9662   0.0010646
         447     1.93964     1.96614  0.00106387
         448     1.93991     1.96608  0.00106311
         449     1.94021     1.96602   0.0010623
         450     1.94053     1.96597  0.00106145
         451     1.94085     1.96591  0.00106056
         452     1.94118     1.96586  0.00105962
         453     1.94151      1.9658  0.00105864
         454     1.94183     1.96575  0.00105763
         455     1.94213      1.9657  0.00105658
         456     1.94241     1.96565  0.00105549
         457     1.94266      1.9656  0.00105438
         458     1.94289     1.96555  0.00105324
         459     1.94308      1.9655  0.00105209
         460     1.94324     1.96545  0.00105091
         461     1.94337      1.9654  0.00104972
         462     1.94345     1.96535  0.00104853
         463      1.9435     1.96531  0.00104732
         464      1.9435     1.96526  0.00104612
         465     1.94348     1.96521  0.00104492
         466     1.94341     1.96517  0.00104372
         467     1.94331     1.96512  0.00104254
         468     1.94318     1.96507  0.00104136
         469     1.94303     1.96503   0.0010402
         470     1.94284     1.96498  0.00103906
         471     1.94264     1.96493  0.00103794
         472     1.94242     1.96488  0.00103683
         473     1.94219     1.96484  0.00103575
         474     1.94195     1.96479  0.00103469
         475     1.94171     1.96474  0.00103365
         476     1.94147     1.96469  0.00103263
         477     1.94123     1.96464  0.00103164
         478       1.941     1.96459  0.00103067
         479     1.94079     1.96454  0.00102971
         480      1.9406     1.96449  0.00102877
         481     1.94042     1.96444  0.00102785
         482     1.94028     1.96439  0.00102694
         483     1.94015     1.96434  0.00102604
         484     1.94006     1.96429  0.00102514
         485        1.94     1.96424  0.00102425
         486     1.93997     1.96419  0.00102336
         487     1.93998     1.96414  0.00102247
         488     1.94002     1.96409  0.00102157
         489     1.94009     1.96404  0.00102066
         490      1.9402     1.96399  0.00101973
         491     1.94033     1.96395  0.00101879
         492      1.9405      1.9639  0.00101784
         493      1.9407     1.96385  0.00101686
         494     1.94092     1.96381  0.00101586
         495     1.94117     1.96376  0.00101484
         496     1.94143     1.96371  0.00101379
         497     1.94172     1.96367  0.00101271
         498     1.94202     1.96363  0.00101161
         499     1.94234     1.96358  0.00101049
         500     1.94266     1.96354  0.00100933
         501       1.943      1.9635  0.00100815
         502     1.94334     1.96346  0.00100694
         503     1.94368     1.96342  0.00100571
         504     1.94402     1.96338  0.00100445
         505     1.94437     1.96335  0.00100316
         506      1.9447     1.96331  0.00100186
         507     1.94504     1.96327  0.00100053
         508     1.94537     1.96324  0.00099918
         509     1.94569      1.9632 0.000997812
         510       1.946     1.96317 0.000996426
         511      1.9463     1.96314 0.000995023
         512     1.94658      1.9631 0.000993605
         513     1.94686     1.96307 0.000992172
         514     1.94712     1.96304 0.000990727
         515     1.94737     1.96301  0.00098927
         516      1.9476     1.96298 0.000987804
         517     1.94782     1.96295 0.000986328
         518     1.94802     1.96292 0.000984846
         519      1.9482     1.96289 0.000983357
         520     1.94836     1.96287 0.000981863
         521     1.94849     1.96284 0.000980366
         522     1.94861     1.96281 0.000978867
         523      1.9487     1.96278 0.000977367
         524     1.94877     1.96276 0.000975868
         525     1.94881     1.96273  0.00097437
         526     1.94882     1.96271 0.000972877
         527      1.9488     1.96268 0.000971388
         528     1.94875     1.96265 0.000969907
         529     1.94867     1.96263 0.000968434
         530     1.94855      1.9626 0.000966971
         531     1.94839     1.96257  0.00096552
         532      1.9482     1.96255 0.000964083
         533     1.94797     1.96252 0.000962662
         534      1.9477     1.96249 0.000961259
         535     1.94738     1.96246 0.000959877
         536     1.94703     1.96243 0.000958518
         537     1.94663      1.9624 0.000957185
         538     1.94619     1.96237  0.00095588
         539     1.94571     1.96234 0.000954606
         540     1.94519     1.96231 0.000953367
         541     1.94462     1.96228 0.000952165
         542     1.94402     1.96224 0.000951004
         543     1.94338     1.96221 0.000949887
         544      1.9427     1.96217 0.000948818
         545     1.94199     1.96214   0.0009478
         546     1.94124      1.9621 0.000946836
         547     1.94047     1.96206 0.000945931
         548     1.93967     1.96202 0.000945087
         549     1.93885     1.96198 0.000944307
         550     1.93801     1.96193 0.000943594
         551     1.93716     1.96189 0.000942952
         552      1.9363     1.96184 0.000942382
         553     1.93544     1.96179 0.000941887
         554     1.93457     1.96174 0.000941467
         555     1.93371     1.96169 0.000941125
         556     1.93286     1.96164 0.000940859
         557     1.93203     1.96159 0.000940671
         558     1.93121     1.96153 0.000940559
         559     1.93042     1.96148 0.000940523
         560     1.92965     1.96142 0.000940559
         561     1.92891     1.96136 0.000940666
