#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         419   -0.309123    -0.36122     0.00134
         420   -0.308345   -0.361094  0.00134271
         421   -0.307688   -0.360967   0.0013455
         422   -0.307171    -0.36084  0.00134834
         423   -0.306799   -0.360712  0.00135119
         424   -0.306568   -0.360584  0.00135402
         425    -0.30649   -0.360457   0.0013568
         426   -0.306569   -0.360331   0.0013595
         427   -0.306797   -0.360205  0.00136209
         428   -0.307183   -0.360081  0.00136453
         429   -0.307718   -0.359959   0.0013668
         430   -0.308398   -0.359839  0.00136887
         431   -0.309217   -0.359722  0.00137072
         432   -0.310167   -0.359607  0.00137234
         433   -0.311238   -0.359496  0.00137371
         434   -0.312429   -0.359387  0.00137482
         435   -0.313728   -0.359282  0.00137566
         436   -0.315115   -0.359181  0.00137623
         437   -0.316585   -0.359083  0.00137653
         438   -0.318129    -0.35899  0.00137656
         439   -0.319732     -0.3589  0.00137632
         440   -0.321395   -0.358815  0.00137583
         441   -0.323094   -0.358734  0.00137509
         442   -0.324828   -0.358658  0.00137412
         443   -0.326586   -0.358585  0.00137292
         444   -0.328352   -0.358517  0.00137152
         445   -0.330129   -0.358453  0.00136992
         446   -0.331909   -0.358394  0.00136814
         447   -0.333681   -0.358338   0.0013662
         448   -0.335438   -0.358287   0.0013641
         449   -0.337182    -0.35824  0.00136187
         450     -0.3389   -0.358197  0.00135953
         451   -0.340596   -0.358158  0.00135707
         452   -0.342272   -0.358123  0.00135452
         453   -0.343918   -0.358092   0.0013519
         454   -0.345535   -0.358064   0.0013492
         455   -0.347125    -0.35804  0.00134645
         456   -0.348685    -0.35802  0.00134365
         457   -0.350214   -0.358003  0.00134082
         458   -0.351716   -0.357989  0.00133797
         459   -0.353185   -0.357978  0.00133509
         460    -0.35463   -0.357971  0.00133221
         461   -0.356048   -0.357967  0.00132933
         462   -0.357441   -0.357966  0.00132645
         463   -0.358813   -0.357968  0.00132359
         464   -0.360154   -0.357972  0.00132074
         465    -0.36148    -0.35798  0.00131792
         466   -0.362786    -0.35799  0.00131513
         467   -0.364077   -0.358003  0.00131238
         468   -0.365344   -0.358019  0.00130967
         469   -0.366584   -0.358037  0.00130701
         470   -0.367808   -0.358058  0.00130439
         471   -0.369025   -0.358081  0.00130183
         472   -0.370219   -0.358107  0.00129933
         473   -0.371391   -0.358135  0.00129688
         474   -0.372544   -0.358165   0.0012945
         475   -0.373674   -0.358198  0.00129219
         476    -0.37478   -0.358233  0.00128994
         477   -0.375867    -0.35827  0.00128777
         478   -0.376925   -0.358309  0.00128567
         479   -0.377946    -0.35835  0.00128364
         480   -0.378937   -0.358393  0.00128168
         481   -0.379901   -0.358437  0.00127979
