#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         335   -0.311342   -0.343692  0.00184556
         336   -0.311135   -0.343595  0.00184261
         337   -0.310862   -0.343498   0.0018397
         338   -0.310533     -0.3434  0.00183684
         339   -0.310151   -0.343302  0.00183404
         340   -0.309722   -0.343203   0.0018313
         341   -0.309243   -0.343104  0.00182864
         342   -0.308718   -0.343003  0.00182605
         343   -0.308158   -0.342902  0.00182355
         344   -0.307556   -0.342799  0.00182114
         345   -0.306926   -0.342695  0.00181883
         346   -0.306258    -0.34259  0.00181662
         347   -0.305569   -0.342483  0.00181451
         348   -0.304858   -0.342375  0.00181252
         349   -0.304137   -0.342265  0.00181063
         350   -0.303412   -0.342154  0.00180886
         351   -0.302684   -0.342042   0.0018072
         352   -0.301963   -0.341928  0.00180565
         353   -0.301247   -0.341813  0.00180421
         354   -0.300551   -0.341696  0.00180287
         355   -0.299873   -0.341578  0.00180164
         356   -0.299232   -0.341459   0.0018005
         357    -0.29863   -0.341339  0.00179945
         358   -0.298067   -0.341218  0.00179848
         359   -0.297547   -0.341097  0.00179758
         360   -0.297078   -0.340974  0.00179674
         361   -0.296669   -0.340852  0.00179595
         362   -0.296324   -0.340729  0.00179519
         363   -0.296049   -0.340606  0.00179446
         364   -0.295845   -0.340483  0.00179374
         365   -0.295717    -0.34036  0.00179301
         366   -0.295665   -0.340238  0.00179227
         367   -0.295689   -0.340117  0.00179149
         368   -0.295797   -0.339996  0.00179067
         369   -0.295986   -0.339877  0.00178978
         370   -0.296255   -0.339759  0.00178882
         371    -0.29661   -0.339643  0.00178778
         372   -0.297047   -0.339528  0.00178664
         373   -0.297562   -0.339416  0.00178538
         374   -0.298153   -0.339305  0.00178402
         375   -0.298816   -0.339197  0.00178252
         376   -0.299557   -0.339092   0.0017809
         377   -0.300362   -0.338989  0.00177913
         378   -0.301229   -0.338889  0.00177723
         379    -0.30216   -0.338792  0.00177518
         380   -0.303137   -0.338699  0.00177299
         381   -0.304158   -0.338608  0.00177065
         382   -0.305224    -0.33852  0.00176817
         383    -0.30632   -0.338436  0.00176555
         384   -0.307446   -0.338356   0.0017628
         385    -0.30859   -0.338278  0.00175991
         386   -0.309741   -0.338204  0.00175691
         387   -0.310898   -0.338134  0.00175378
         388    -0.31205   -0.338067  0.00175055
         389    -0.31319   -0.338003  0.00174722
         390   -0.314311   -0.337942  0.00174379
         391   -0.315403   -0.337884  0.00174029
         392   -0.316456    -0.33783  0.00173671
         393   -0.317468   -0.337778  0.00173306
         394   -0.318432   -0.337729  0.00172936
         395   -0.319337   -0.337682   0.0017256
         396   -0.320174   -0.337638  0.00172181
         397   -0.320947   -0.337596  0.00171799
         398   -0.321643   -0.337556  0.00171414
         399   -0.322255   -0.337518  0.00171027
         400   -0.322776   -0.337481  0.00170639
         401   -0.323212   -0.337445  0.00170251
         402   -0.323555   -0.337411  0.00169863
         403   -0.323799   -0.337377  0.00169475
         404   -0.323939   -0.337343  0.00169088
         405   -0.323978    -0.33731  0.00168702
         406   -0.323912   -0.337277  0.00168319
         407   -0.323741   -0.337244  0.00167939
         408   -0.323468    -0.33721  0.00167561
         409   -0.323087   -0.337176  0.00167187
         410   -0.322603    -0.33714  0.00166817
         411   -0.322022   -0.337104  0.00166451
         412    -0.32134   -0.337065  0.00166091
         413   -0.320565   -0.337025  0.00165737
         414   -0.319699   -0.336984   0.0016539
         415   -0.318742    -0.33694   0.0016505
         416   -0.317704   -0.336893  0.00164718
         417   -0.316593   -0.336845  0.00164395
         418   -0.315419   -0.336793  0.00164081
         419   -0.314189   -0.336739  0.00163778
         420   -0.312911   -0.336683  0.00163486
         421   -0.311597   -0.336623  0.00163207
         422   -0.310251   -0.336561   0.0016294
         423   -0.308889   -0.336495  0.00162686
         424   -0.307521   -0.336427  0.00162445
         425   -0.306161   -0.336356  0.00162219
         426   -0.304822   -0.336282  0.00162007
         427   -0.303513   -0.336205  0.00161809
         428    -0.30225   -0.336126  0.00161626
         429   -0.301042   -0.336044  0.00161456
         430   -0.299901    -0.33596  0.00161299
         431   -0.298841   -0.335874  0.00161154
         432   -0.297863   -0.335786  0.00161021
         433   -0.296976   -0.335696  0.00160899
         434   -0.296189   -0.335605  0.00160785
         435   -0.295509   -0.335513   0.0016068
         436   -0.294938    -0.33542   0.0016058
         437   -0.294481   -0.335326  0.00160486
         438   -0.294135   -0.335232  0.00160395
         439   -0.293897   -0.335138  0.00160306
         440   -0.293764   -0.335044  0.00160217
         441    -0.29373    -0.33495  0.00160127
         442   -0.293796   -0.334857  0.00160035
         443   -0.293951   -0.334765   0.0015994
         444   -0.294184   -0.334673  0.00159841
         445   -0.294488   -0.334583  0.00159737
         446   -0.294846   -0.334494  0.00159627
         447    -0.29526   -0.334406  0.00159511
         448   -0.295705    -0.33432  0.00159389
         449   -0.296185   -0.334235   0.0015926
         450   -0.296667   -0.334151  0.00159124
         451   -0.297163   -0.334069  0.00158983
         452   -0.297654   -0.333989  0.00158835
         453   -0.298128    -0.33391  0.00158682
         454   -0.298574   -0.333832  0.00158523
         455   -0.298997   -0.333755  0.00158359
         456   -0.299379    -0.33368  0.00158191
